Title,Year,
Adele: Live at the Royal Albert Hall,2011,"Due to being a concert film, live performance."
Beyoncé: I Am... World Tour,2010,Due to being a Documentary.
Racionais MC's: From the Streets of São Paulo,2022,Due to being a Documentary.
Shinjuku Boys,1995,Due to being a Documentary.
The Rescue,2021,Due to being a Documentary.
Jão: SuperTurnê ao Vivo,2024,Due to being a Documentary.
News from Home,1976,Due to being a Documentary.
When We Were Kings,1996,Due to being a Documentary.
Disclosure,2020,Due to being a Documentary.
The Amazonian Angel,1992,Due to being a Documentary.
The Battle of Chile: Part III,1979,Due to being a Documentary.
Common Threads: Stories from the Quilt,1989,Due to being a Documentary.
Apollo 11,2019,Due to being a Documentary.
Ennio,2021,Due to being a Documentary.
Jimin's Production Diary,2023,Due to being a Documentary.
National Theatre Live: Cyrano de Bergerac,2020,Due to being a filmed theater.
Roger Waters: The Wall,2014,"Due to being a concert film, live performance."
Scotch Mist: A Film with Radiohead in It,2007,Due to being a Documentary.
For All Mankind,1989,Due to being a Documentary.
Southern Comfort,2001,Due to being a Documentary.
Southern Comfort,2001,Due to being a Documentary.
The Freddie Mercury Tribute Concert,1992,"Due to being a concert film, live performance."
BLACKPINK: The Show,2021,"Due to being a concert film, live performance."
Niall Horan: Live at the Royal Albert Hall,2020,Due to being a Documentary.
The Fire Within: Requiem for Katia and Maurice Krafft,2022,Due to being a Documentary.
Mysteries of Lisbon,2010,Due to being a edited from tv series.
Earthlings,2005,Due to being a Documentary.
Concerning Violence,2014,Due to being a Documentary.
Dangerous Days: Making 'Blade Runner',2007,Due to being a Documentary.
Ryuichi Sakamoto: Coda,2017,Due to being a live performance.
IU CONCERT : The Golden Hour,2023,Due to being a concert film.
Triumph Over Violence,1965,Due to being a Documentary.
Reminiscences of a Journey to Lithuania,1972,Due to being a Documentary.
Los Angeles Plays Itself,2003,Due to being a Documentary.
The Quince Tree Sun,1992,Due to being a Documentary.
Idiot Prayer: Nick Cave Alone at Alexandra Palace,2020,Due to being a concert film.
Children of Shatila,1998,Due to being a Documentary.
The Remarkable Life of Ibelin,2024,Due to being a Documentary.
"Love, Antosha",2019,Due to being a Documentary.
102 Minutes That Changed America,2008,Due to being a Documentary.
Bitter Lake,2015,Due to being a Documentary.
The Kingdom of Dreams and Madness,2013,Due to being a Documentary.
Homework,1989,Due to being a Documentary.
The Work,2017,Due to being a Documentary.
Super/Man: The Christopher Reeve Story,2024,Due to being a Documentary.
Hasan Minhaj: Homecoming King,2017,Due to being a stand-up comedy.
Slowdive: Souvlaki,2015,Due to being a Documentary.
Daft Punk - Alive 2007 - Live Album Concert in Paris,2007,Due to being a Documentary.
Robin Williams: An Evening at the Met,1986,Due to being a stand-up comedy.
Kanye With Special Guest Drake - Free Larry Hoover Benefit Concert,2021,Due to being a live performance.
28 Up,1984,Due to being a Documentary.
Top Gear: The Burma Special,2014,Due to being a Documentary.
Marvel Studios Assembled: The Making of X-Men '97,2024,Due to being a Documentary.
Adele One Night Only,2021,Due to being a concert film.
Dead Souls,2018,Due to being a Documentary.
"Lost, Lost, Lost",1976,Due to being a Documentary.
The Visitors,2012,Due to being a live performance.
Burden of Dreams,1982,Due to being a Documentary.
Emicida: AmarElo – Ao Vivo,2021,Due to being a Documentary.
Jazz on a Summer's Day,1959,Due to being a concert film.
Instrument,1999,Due to being a Documentary.
aespa: WORLD TOUR in cinemas,2024,Due to being a concert film.
Roger Waters: Us + Them,2019,Due to being a Documentary.
The Thin Blue Line,1988,Due to being a Documentary.
Top Gear: South America Special,2009,Due to being a Documentary.
Anticipation of the Night,1958,Due to being a Documentary.
The Arrested Development Documentary Project,2013,Due to being a Documentary.
The Twilight Zone: A 60th Anniversary Celebration,2019,Due to being a Documentary.
Flight of the Conchords: Live in London,2018,Due to being a stand-up comedy.
A World Not Ours,2012,Due to being a Documentary.
Rowan Atkinson Live,1992,Due to being a stand-up comedy.
Beastie Boys: Video Anthology,2000,Due to being a Documentary.
Lakai - Fully Flared,2007,Due to being a Documentary.
Hospital,1970,Due to being a Documentary.
Bill Hicks: Relentless,1992,Due to being a stand-up comedy.
Microcosmos,1996,Due to being a Documentary.
Silicon Valley,2013,Due to being a Documentary.
Our Planet: Behind The Scenes,2019,Due to being a Documentary.
Ricky Jay and His 52 Assistants,1996,Due to being a Documentary.
Tom Petty and the Heartbreakers: Runnin' Down a Dream,2007,Due to being a Documentary.
Bruce Springsteen & The E Street Band - The Legendary 1979 No Nukes Concerts,2021,Due to being a Documentary.
Shane Gillis: Live in Austin,2021,Due to being a stand-up comedy.
A Little Life,2023,Due to being a filmed theater.
The IT Crowd Manual,2014,Due to being a Documentary.
Land of Silence and Darkness,1971,Due to being a Documentary.
How to Die in Oregon,2011,Due to being a Documentary.
Where Does Your Hidden Smile Lie?,2001,Due to being a Documentary.
Tripping with Nils Frahm,2020,Due to being a Documentary.
Billy Elliot: The Musical Live,2014,"Due to being a live performance, filmed theater."
Bye Bye Tiberias,2023,Due to being a Documentary.
Butterfly in the Sky,2022,Due to being a Documentary.
Oasis Knebworth 1996,2021,Due to being a live performance.
Free Solo,2018,Due to being a Documentary.
Bo Burnham: What.,2013,Due to being a stand-up comedy.
42 Up,1998,Due to being a Documentary.
Sink or Swim,1990,Due to being a Documentary.
Insecure: The End,2021,Due to being a Documentary.
Richard Pryor: Live in Concert,1979,Due to being a stand-up comedy.
Turnê Anti-Herói (Ao Vivo),2020,Due to being a Documentary.
Jacqueline Novak: Get on Your Knees,2024,Due to being a stand-up comedy.
The Dawn Wall,2017,Due to being a Documentary.
The Velvet Queen,2021,Due to being a Documentary.
Taylor Hawkins Tribute Concert,2022,Due to being a live performance.
Distant Sky,2018,Due to being a Documentary.
National Theatre Live: Yerma,2017,Due to being a filmed theater.
Varda by Agnès,2019,Due to being a Documentary.
49 Up,2005,Due to being a Documentary.
Puella Magi Madoka Magica the Movie Part II: Eternal,2012,Due to being a edited from tv series.
George Carlin: You Are All Diseased,1999,"Due to being a concert film, stand-up comedy."
Cuba and the Cameraman,2017,Due to being a Documentary.
Gleason,2016,Due to being a Documentary.
Amy,2015,Due to being a Documentary.
The Last Days,1998,Due to being a Documentary.
Long Strange Trip,2017,Due to being a Documentary.
Survive and Advance,2013,Due to being a Documentary.
Little Palestine: Diary of a Siege,2021,Due to being a Documentary.
Notre Dame de Paris,1998,Due to being a live performance.
Gimme Shelter,1970,Due to being a concert film.
Spaced: Skip to the End,2004,Due to being a Documentary.
Big Time,1988,Due to being a Documentary.
Metallica and San Francisco Symphony: S&M2,2019,"Due to being a concert film, live performance."
Newsies,2017,Due to being a filmed theater.
Son of a Mother,2022,Due to being a Documentary.
George Carlin: It's Bad for Ya!,2008,Due to being a stand-up comedy.
Encounters at the End of the World,2007,Due to being a Documentary.
At Sea,2007,Due to being a Documentary.
Linkin Park: Live in Texas,2003,Due to being a Documentary.
Crip Camp: A Disability Revolution,2020,Due to being a Documentary.
Heartworn Highways,1976,Due to being a Documentary.
Depeche Mode: Devotional,1993,Due to being a Documentary.
The Silence of Others,2018,Due to being a Documentary.
Little Girl,2020,Due to being a Documentary.
Queen: Days of Our Lives,2011,Due to being a Documentary.
Louis C.K.: Chewed Up,2008,Due to being a stand-up comedy.
Waltz with Bashir,2008,Due to being a Documentary.
Dark Days,2000,Due to being a Documentary.
Taylor Swift: VH1 Storytellers,2012,"Due to being a concert film, live performance."
STILL: A Michael J. Fox Movie,2023,Due to being a Documentary.
The Making of the Return of the King,2004,Due to being a Documentary.
BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,2024,Due to being a concert film.
The Blue Planet,1982,Due to being a Documentary.
Louis C.K.: Hilarious,2010,Due to being a stand-up comedy.
Style Wars,1983,Due to being a Documentary.
National Theatre Live: Frankenstein,2011,Due to being a filmed theater.
Moonage Daydream,2022,Due to being a Documentary.
My Voyage to Italy,1999,Due to being a Documentary.
Juan Gabriel en el Palacio de Bellas Artes,1990,Due to being a Documentary.
Queen: Hungarian Rhapsody - Live in Budapest '86,1986,Due to being a concert film.
Tempestad,2016,Due to being a Documentary.
Bill Hicks: Revelations,1993,Due to being a stand-up comedy.
Billie Eilish: The World's a Little Blurry,2021,Due to being a Documentary.
Nobody's Business,1996,Due to being a Documentary.
Tower,2016,Due to being a Documentary.
Stewart Lee: Carpet Remnant World,2012,Due to being a stand-up comedy.
Cherry Bomb: The Documentary,2017,Due to being a Documentary.
How to Save a Dead Friend,2022,Due to being a Documentary.
35 Up,1991,Due to being a Documentary.
La région centrale,1971,Due to being a Documentary.
"Belfast, Maine",1999,Due to being a Documentary.
Häxan,1922,Due to being a Documentary.
Foragers,2022,Due to being a Documentary.
Lake of Fire,2006,Due to being a Documentary.
Let the Fire Burn,2013,Due to being a Documentary.
Honeyland,2019,Due to being a Documentary.
Hot Potato: The Story of The Wiggles,2023,Due to being a Documentary.
The Black Power Mixtape 1967-1975,2011,Due to being a Documentary.
Silverlake Life: The View from Here,1993,Due to being a Documentary.
Kedi,2016,Due to being a Documentary.
Our Body,2023,Due to being a Documentary.
Stewart Lee: Content Provider,2018,Due to being a stand-up comedy.
Lady Gaga's artRAVE - The ARTPOP Ball,2014,Due to being a live performance.
Louis C.K.: Shameless,2007,Due to being a stand-up comedy.
Safe Journey,1993,Due to being a Documentary.
Britney Spears: Live from Las Vegas,2001,"Due to being a concert film, live performance."
blur | No Distance Left to Run,2010,Due to being a Documentary.
Fifi Howls from Happiness,2013,Due to being a Documentary.
Oprah Winfrey Presents: When They See Us Now,2019,Due to being a Documentary.
Nostalgia for the Light,2010,Due to being a Documentary.
Jiro Dreams of Sushi,2011,Due to being a Documentary.
21 Up,1977,Due to being a Documentary.
Ween: Live in Chicago,2004,Due to being a Documentary.
Shirkers,2018,Due to being a Documentary.
Yintah,2024,Due to being a Documentary.
"Michael Jackson - Live at Wembley July 16, 1988",2012,Due to being a live performance.
George Carlin: Life Is Worth Losing,2005,Due to being a stand-up comedy.
Chris Rock: Bring the Pain,1996,Due to being a stand-up comedy.
George Carlin: Complaints & Grievances,2001,Due to being a stand-up comedy.
Ashes and Snow,2005,Due to being a Documentary.
In the Name of God,1992,Due to being a Documentary.
I've Been Twelve Forever,2004,Due to being a Documentary.
Liza with a Z,1972,"Due to being a concert film, filmed theater."
Miss Americana,2020,Due to being a Documentary.
Never Get Tired: The Bomb the Music Industry! Story,2015,Due to being a Documentary.
Nitrate Kisses,1992,Due to being a Documentary.
Wattstax,1973,Due to being a Documentary.
Momentum Generation,2018,Due to being a Documentary.
Songs for Drella,1990,Due to being a Documentary.
Who We Are: A Chronicle of Racism in America,2021,Due to being a Documentary.
"Lots of Kids, a Monkey and a Castle",2017,Due to being a Documentary.
Menus-Plaisirs - Les Troisgros,2023,Due to being a Documentary.
How to Survive a Plague,2012,Due to being a Documentary.
National Theatre Live: A Streetcar Named Desire,2014,Due to being a filmed theater.
The Great White Silence,1924,Due to being a Documentary.
One Direction: The TV Special,2014,Due to being a live performance.
Pixo,2009,Due to being a Documentary.
The Making of The Two Towers,2003,Due to being a Documentary.
Daguerréotypes,1975,Due to being a Documentary.
London 2012 Olympic Opening Ceremony: Isles of Wonder,2012,Due to being a Documentary.
Collective,2019,Due to being a Documentary.
"BloodSisters: Leather, Dykes, and Sadomasochism",1995,Due to being a Documentary.
Juvenile Court,1973,Due to being a Documentary.
Titicut Follies,1967,Due to being a Documentary.
Savage X Fenty Show,2019,Due to being a Documentary.
Katt Williams: The Pimp Chronicles Pt. 1,2006,Due to being a stand-up comedy.
The King of Kong: A Fistful of Quarters,2007,Due to being a Documentary.
Martyrdom,2016,Due to being a Documentary.
Louis C.K.: Oh My God,2013,Due to being a stand-up comedy.
To Be and to Have,2002,Due to being a Documentary.
Sopranos Unauthorized: Shooting Sites Uncovered,2002,Due to being a Documentary.
Mike Birbiglia: My Girlfriend's Boyfriend,2013,Due to being a stand-up comedy.
Louis C.K.: Live at the Beacon Theater,2011,Due to being a stand-up comedy.
The Cove,2009,Due to being a Documentary.
Indecent,2017,"Due to being a live performance, filmed theater."
Randy Writes a Novel,2019,Due to being a stand-up comedy.
I'm Not Everything I Want to Be,2024,Due to being a Documentary.
National Theatre Live: Hamlet,2015,Due to being a filmed theater.
American Dream,1990,Due to being a Documentary.
Top Gear: Botswana Special,2007,Due to being a Documentary.
Savage X Fenty Show Vol. 2,2020,Due to being a Documentary.
National Theatre Live: The Lehman Trilogy,2019,Due to being a filmed theater.
Robin Williams: Live on Broadway,2002,Due to being a stand-up comedy.
Children of the Mist,2021,Due to being a Documentary.
Prince and the Revolution: Live,1985,Due to being a concert film.
Love Meetings,1964,Due to being a Documentary.
Hands on a Hardbody: The Documentary,1997,Due to being a Documentary.
Alex Edelman: Just for Us,2024,Due to being a stand-up comedy.
Night Will Fall,2014,Due to being a Documentary.
The Ballad of Sexual Dependency,1985,Due to being a Documentary.
The Real Sopranos,2006,Due to being a Documentary.
Welcome to Chechnya,2020,Due to being a Documentary.
Blackfish,2013,Due to being a Documentary.
Jane Fonda in Five Acts,2018,Due to being a Documentary.
Frontiers of Dreams and Fears,2001,Due to being a Documentary.
"Apolonia, Apolonia",2022,Due to being a Documentary.
The Hour Of The Furnaces,1968,Due to being a Documentary.
Mitch Hedberg: Mitch All Together,2003,Due to being a stand-up comedy.
The Boulet Brothers' Dragula: Resurrection,2020,Due to being a Documentary.
Bones Brigade: An Autobiography,2012,Due to being a Documentary.
Todo Dia é 4 de Novembro: O Fluminense Conquista a América,2023,Due to being a Documentary.
Spinetta y Las Bandas Eternas,2010,Due to being a Documentary.
Rammstein in Amerika,2015,Due to being a Documentary.
The Fog of War,2003,Due to being a Documentary.
Waiting for the Carnival,2019,Due to being a Documentary.
Cem Yılmaz: CM101MMXI Fundamentals,2013,Due to being a stand-up comedy.
Soundtrack to a Coup d'État,2024,Due to being a Documentary.
Toni Morrison: The Pieces I Am,2019,Due to being a Documentary.
Rockshow,1980,Due to being a Documentary.
Slipknot: Disasterpieces,2002,Due to being a Documentary.
A Hero's Journey: The Making of Percy Jackson and the Olympians,2024,Due to being a Documentary.
Empire of Dreams: The Story of the Star Wars Trilogy,2004,Due to being a Documentary.
4 Little Girls,1997,Due to being a Documentary.
56 Up,2012,Due to being a Documentary.
And All That Could Have Been,2002,Due to being a Documentary.
Martin Margiela: In His Own Words,2019,Due to being a Documentary.
McCullin,2012,Due to being a Documentary.
"Mon Laferte, I Love You",2024,Due to being a Documentary.
In Jackson Heights,2015,Due to being a Documentary.
Italianamerican,1974,Due to being a Documentary.
Lumière!,2016,Due to being a Documentary.
Delphine and Carole,2019,Due to being a Documentary.
Leila and the Wolves,1984,Due to being a Documentary.
Rush: Beyond The Lighted Stage,2010,Due to being a live performance.
The Concert for Bangladesh,1972,"Due to being a concert film, live performance."
Garlic Is as Good as Ten Mothers,1980,Due to being a Documentary.
Beyond Utopia,2023,Due to being a Documentary.
The Revolution Will Not Be Televised,2003,Due to being a Documentary.
Jane B. for Agnès V.,1988,Due to being a Documentary.
